Tender Title,Reference No,Closing Date,Bid Opening Date
1. Civil Work,MCD/TR/5661/2023_5_1_1/1,31-Aug-2023 03:00 PM,31-Aug-2023 03:05 PM
2. Engagement of user fee collection agency on the basis of  EQ for Bharthana Fee Plaza at design KM 157.750 for Six laning of km 108.700 to km 192.000 of Vadodara Bharuch Section of NH8 in the state of Gujarat,NHAI/13013/547/CO/23-24/ EQ/ Bharthana FP,28-Aug-2023 11:00 AM,29-Aug-2023 11:30 AM
3. Engagement of user fee collection agency on the basis of EQ for Choryasi FP at Ch. 245.650 on Bharuch Surat Section from design Km 198.000 to Km 263.000 of NH8 in the state of Gujarat.,NHAI/13013/547/CO/23-24/ EQ/Choryasi FP,28-Aug-2023 11:00 AM,29-Aug-2023 11:30 AM
4. Miscellaneous civil works in NEERI colony premises at CSIR NEERI Nagpur,50(12)/2023-24/W,29-Aug-2023 06:00 PM,31-Aug-2023 11:00 AM
5. Design and Construction of 6 lane Standalone single span Grade Separated structure at Km 532 552 on Gonde Vadape section of NH 3 New NH 848 in the state of Maharashtra balance work on EPC Mode,NHAI/RO/MUM/NSK/DP/Bapgaon,21-Sep-2023 11:00 AM,22-Sep-2023 12:00 PM
6. Operation of BUKAKA Make PBBs,AAI/TRY/ENGG(E)/ARMO-25/23-24,12-Sep-2023 06:00 PM,14-Sep-2023 11:00 AM
"7. Providing and fixing of wooden false ceiling in research scholar hostel building at IIIM, Br. Lab. Srinagar",W11015/2/2023-Works,13-Sep-2023 03:00 PM,14-Sep-2023 03:30 PM
8. Construction of New Terminal Building and associated work at Leh Airport. SH Installation Testing and Commissioning of On Grid Solar Photo Voltaic Power plant System,AAI/ENGGE/LEH/NTB/2023-24/02,12-Sep-2023 06:00 PM,14-Sep-2023 09:30 AM
9. Renovation of Ladies and Gents washroom at Pulwama Field Station IIIM Branch Lab Srinagar (Electrical Work),W11015/4/2023-Works,06-Sep-2023 03:00 PM,07-Sep-2023 03:30 PM
10. Engagement of user fee collection agency on the basis of  EQ through etender for Mada FP at km 90.176 and Nashri Fp at km 99.800 for the 4 laning of Chenani Nashri in the UT of J an K.,NHAI/13013/547/CO/ 23-24/EQ/Mada n Nashri FP,28-Aug-2023 11:00 AM,29-Aug-2023 11:30 AM
